system,completeness,lognr,noise,algo,metric,value,dimension,experiment
1_5,1,2,0,alpha,Alignment Based Fitness,0.336653567657087,Fitness,1B
1_5,1,2,0,alpha,Alignment Based Generalization,0.999976536602457,Generalization,1B
1_5,1,2,0,alpha,Alignment Based Precision,0.833333333333333,Precision,1B
1_5,1,2,0,alpha,Best Align,0.42315031152648,Precision,1B
1_5,1,2,0,alpha,Behavioral Generalization,0.453983341429562,Generalization,1B
1_5,1,2,0,alpha,Behavioral Precision,0.243448944066521,Precision,1B
1_5,1,2,0,alpha,Behavioral Recall,0.740671154950159,Fitness,1B
1_5,1,2,0,alpha,One Align,0.357142857142857,Precision,1B
1_5,1,2,0,alpha,Token Based Fitness,0.777609586715698,Fitness,1B
1_5,1,2,0,flower,Alignment Based Fitness,1,Fitness,1B
1_5,1,2,0,flower,Alignment Based Generalization,0.999998398339765,Generalization,1B
1_5,1,2,0,flower,Best Align,0.117673794823044,Precision,1B
1_5,1,2,0,flower,Behavioral Generalization,1,Generalization,1B
1_5,1,2,0,flower,Behavioral Precision,0.0797292468697227,Precision,1B
1_5,1,2,0,flower,Behavioral Recall,1,Fitness,1B
1_5,1,2,0,flower,One Align,0.117673794823044,Precision,1B
1_5,1,2,0,flower,Token Based Fitness,1,Fitness,1B
1_5,1,2,0,heuristics,Alignment Based Fitness,0.889192238260365,Fitness,1B
1_5,1,2,0,heuristics,Alignment Based Generalization,0.999114633140169,Generalization,1B
1_5,1,2,0,heuristics,Alignment Based Precision,0.670804260322548,Precision,1B
1_5,1,2,0,heuristics,Best Align,0.833333333333333,Precision,1B
1_5,1,2,0,heuristics,Behavioral Generalization,0.669444832505426,Generalization,1B
1_5,1,2,0,heuristics,Behavioral Precision,0.33925008950954,Precision,1B
1_5,1,2,0,heuristics,Behavioral Recall,0.888106048744846,Fitness,1B
1_5,1,2,0,heuristics,One Align,0.700758096960405,Precision,1B
1_5,1,2,0,ILP,Alignment Based Generalization,0,Generalization,1B
1_5,1,2,0,ILP,Best Align,0.456792149622183,Precision,1B
1_5,1,2,0,ILP,Behavioral Generalization,0.639493789941015,Generalization,1B
1_5,1,2,0,ILP,Behavioral Precision,0.327719803526194,Precision,1B
1_5,1,2,0,ILP,Behavioral Recall,1,Fitness,1B
1_5,1,2,0,ILP,Token Based Fitness,0.988325476646423,Fitness,1B
1_5,1,2,0,inductive,Alignment Based Generalization,0,Generalization,1B
1_5,1,2,0,inductive,Alignment Based Precision,0,Precision,1B
1_5,1,2,0,inductive,Behavioral Generalization,0.647718703869299,Generalization,1B
1_5,1,2,0,inductive,Behavioral Precision,0.2279364569059,Precision,1B
1_5,1,2,0,inductive,Behavioral Recall,0.764234643285841,Fitness,1B
1_5,1,2,0,inductive,Token Based Fitness,0.846260190010071,Fitness,1B
1_5,1,2,1,alpha,Alignment Based Fitness,0.13017828283292,Fitness,1B
1_5,1,2,1,alpha,Alignment Based Generalization,0.999862416876863,Generalization,1B
1_5,1,2,1,alpha,Alignment Based Precision,1,Precision,1B
1_5,1,2,1,alpha,Best Align,0.615384615384615,Precision,1B
1_5,1,2,1,alpha,Behavioral Generalization,0.211954730165284,Generalization,1B
1_5,1,2,1,alpha,Behavioral Precision,0.152371077238157,Precision,1B
1_5,1,2,1,alpha,Behavioral Recall,0.127612430244009,Fitness,1B
1_5,1,2,1,alpha,One Align,0.846153846153846,Precision,1B
1_5,1,2,1,alpha,Token Based Fitness,0.238395303487778,Fitness,1B
1_5,1,2,1,flower,Alignment Based Fitness,1,Fitness,1B
1_5,1,2,1,flower,Alignment Based Generalization,0.999998848674932,Generalization,1B
1_5,1,2,1,flower,Best Align,0.301038177940891,Precision,1B
1_5,1,2,1,flower,Behavioral Generalization,1,Generalization,1B
1_5,1,2,1,flower,Behavioral Precision,0.11369509917545,Precision,1B
1_5,1,2,1,flower,Behavioral Recall,1,Fitness,1B
1_5,1,2,1,flower,One Align,0.301038177940891,Precision,1B
1_5,1,2,1,flower,Token Based Fitness,1,Fitness,1B
1_5,1,2,1,heuristics,Alignment Based Generalization,0,Generalization,1B
1_5,1,2,1,heuristics,Alignment Based Precision,0,Precision,1B
1_5,1,2,1,heuristics,Behavioral Generalization,0.253903977773695,Generalization,1B
1_5,1,2,1,heuristics,Behavioral Precision,0.373720583758232,Precision,1B
1_5,1,2,1,heuristics,Behavioral Recall,0.811002297844403,Fitness,1B
1_5,1,2,1,ILP,Alignment Based Fitness,0.118663314839294,Fitness,1B
1_5,1,2,1,ILP,Alignment Based Generalization,0.999993746221676,Generalization,1B
1_5,1,2,1,ILP,Best Align,0.288031518970496,Precision,1B
1_5,1,2,1,ILP,Behavioral Generalization,0.977588212843569,Generalization,1B
1_5,1,2,1,ILP,Behavioral Precision,0.133987893416947,Precision,1B
1_5,1,2,1,ILP,Behavioral Recall,1,Fitness,1B
1_5,1,2,1,ILP,One Align,0.0833333333333333,Precision,1B
1_5,1,2,1,ILP,Token Based Fitness,0.628666162490845,Fitness,1B
1_5,1,2,1,inductive,Alignment Based Fitness,0.918544735348964,Fitness,1B
1_5,1,2,1,inductive,Alignment Based Precision,0.315212118084224,Precision,1B
1_5,1,2,1,inductive,Best Align,0.44019032736005703,Precision,1B
1_5,1,2,1,inductive,Behavioral Generalization,0.368872678906447,Generalization,1B
1_5,1,2,1,inductive,Behavioral Precision,0.136627371744778,Precision,1B
1_5,1,2,1,inductive,Behavioral Recall,0.604907539118065,Fitness,1B
1_5,1,2,1,inductive,One Align,0.471210788240083,Precision,1B
1_5,1,2,2,alpha,Alignment Based Fitness,0.154177702827484,Fitness,1B
1_5,1,2,2,alpha,Alignment Based Generalization,0.999901817032263,Generalization,1B
1_5,1,2,2,alpha,Alignment Based Precision,1,Precision,1B
1_5,1,2,2,alpha,Best Align,0.923076923076923,Precision,1B
1_5,1,2,2,alpha,Behavioral Generalization,0.189347285040054,Generalization,1B
1_5,1,2,2,alpha,Behavioral Precision,1,Precision,1B
1_5,1,2,2,alpha,Behavioral Recall,0.0937828977050561,Fitness,1B
1_5,1,2,2,alpha,One Align,1,Precision,1B
1_5,1,2,2,alpha,Token Based Fitness,0.194061428308487,Fitness,1B
1_5,1,2,2,flower,Alignment Based Fitness,1,Fitness,1B
1_5,1,2,2,flower,Alignment Based Generalization,0.999999099793475,Generalization,1B
1_5,1,2,2,flower,Best Align,0.348031148798752,Precision,1B
1_5,1,2,2,flower,Behavioral Generalization,1,Generalization,1B
1_5,1,2,2,flower,Behavioral Precision,0.124379176105163,Precision,1B
1_5,1,2,2,flower,Behavioral Recall,1,Fitness,1B
1_5,1,2,2,flower,One Align,0.348031148798752,Precision,1B
1_5,1,2,2,flower,Token Based Fitness,1,Fitness,1B
1_5,1,2,2,heuristics,Alignment Based Fitness,0.829706456833953,Fitness,1B
1_5,1,2,2,heuristics,Alignment Based Generalization,0.999087246919258,Generalization,1B
1_5,1,2,2,heuristics,Best Align,0.772377713837301,Precision,1B
1_5,1,2,2,heuristics,Behavioral Generalization,0.323089070721226,Generalization,1B
1_5,1,2,2,heuristics,Behavioral Precision,0.386015042543348,Precision,1B
1_5,1,2,2,heuristics,Behavioral Recall,0.824525521099648,Fitness,1B
1_5,1,2,2,heuristics,One Align,0.767427776295773,Precision,1B
1_5,1,2,2,ILP,Alignment Based Fitness,0.117340046151241,Fitness,1B
1_5,1,2,2,ILP,Alignment Based Generalization,0.999996763198866,Generalization,1B
1_5,1,2,2,ILP,Best Align,0.373332505651072,Precision,1B
1_5,1,2,2,ILP,Behavioral Generalization,0.97600860284056,Generalization,1B
1_5,1,2,2,ILP,Behavioral Precision,0.144500914512424,Precision,1B
1_5,1,2,2,ILP,Behavioral Recall,1,Fitness,1B
1_5,1,2,2,ILP,One Align,0.0769230769230769,Precision,1B
1_5,1,2,2,ILP,Token Based Fitness,0.929462552070618,Fitness,1B
1_5,1,2,2,inductive,Alignment Based Fitness,0.904359080421919,Fitness,1B
1_5,1,2,2,inductive,Alignment Based Generalization,0.918431805279458,Generalization,1B
1_5,1,2,2,inductive,Alignment Based Precision,0.578631041926313,Precision,1B
1_5,1,2,2,inductive,Best Align,0.6501433567579955,Precision,1B
1_5,1,2,2,inductive,Behavioral Generalization,0.766826303668833,Generalization,1B
1_5,1,2,2,inductive,Behavioral Precision,0.467551259539213,Precision,1B
1_5,1,2,2,inductive,Behavioral Recall,0.860709236923632,Fitness,1B
1_5,1,2,2,inductive,One Align,0.596491687736628,Precision,1B
1_5,1,2,3,alpha,Alignment Based Fitness,0.201193934545702,Fitness,1B
1_5,1,2,3,alpha,Alignment Based Generalization,0.999929712100765,Generalization,1B
1_5,1,2,3,alpha,Alignment Based Precision,1,Precision,1B
1_5,1,2,3,alpha,Best Align,1,Precision,1B
1_5,1,2,3,alpha,Behavioral Generalization,0.221307230339957,Generalization,1B
1_5,1,2,3,alpha,Behavioral Precision,1,Precision,1B
1_5,1,2,3,alpha,Behavioral Recall,0.109822934232715,Fitness,1B
1_5,1,2,3,alpha,One Align,1,Precision,1B
1_5,1,2,3,alpha,Token Based Fitness,0.197910726070404,Fitness,1B
1_5,1,2,3,flower,Alignment Based Fitness,1,Fitness,1B
1_5,1,2,3,flower,Alignment Based Generalization,0.999999226166486,Generalization,1B
1_5,1,2,3,flower,Best Align,0.379023263224984,Precision,1B
1_5,1,2,3,flower,Behavioral Generalization,1,Generalization,1B
1_5,1,2,3,flower,Behavioral Precision,0.132471460770466,Precision,1B
1_5,1,2,3,flower,Behavioral Recall,1,Fitness,1B
1_5,1,2,3,flower,One Align,0.379023263224984,Precision,1B
1_5,1,2,3,flower,Token Based Fitness,1,Fitness,1B
1_5,1,2,3,heuristics,Alignment Based Fitness,0.736883695402021,Fitness,1B
1_5,1,2,3,heuristics,Alignment Based Generalization,0.999409490004952,Generalization,1B
1_5,1,2,3,heuristics,Best Align,0.853272304455354,Precision,1B
1_5,1,2,3,heuristics,Behavioral Generalization,0.291217395062065,Generalization,1B
1_5,1,2,3,heuristics,Behavioral Precision,0.433042189542146,Precision,1B
1_5,1,2,3,heuristics,Behavioral Recall,0.780986509274874,Fitness,1B
1_5,1,2,3,heuristics,One Align,0.813913403848509,Precision,1B
1_5,1,2,3,ILP,Alignment Based Fitness,0.118017060984773,Fitness,1B
1_5,1,2,3,ILP,Alignment Based Generalization,0.999997991774308,Generalization,1B
1_5,1,2,3,ILP,Best Align,0.396781201014069,Precision,1B
1_5,1,2,3,ILP,Behavioral Generalization,0.975088736263871,Generalization,1B
1_5,1,2,3,ILP,Behavioral Precision,0.153531396245184,Precision,1B
1_5,1,2,3,ILP,Behavioral Recall,1,Fitness,1B
1_5,1,2,3,ILP,One Align,0.0769230769230769,Precision,1B
1_5,1,2,3,ILP,Token Based Fitness,0.869481801986694,Fitness,1B
1_5,1,2,3,inductive,Alignment Based Fitness,0.939629057314255,Fitness,1B
1_5,1,2,3,inductive,Best Align,0.466354242225151,Precision,1B
1_5,1,2,3,inductive,Behavioral Generalization,0.750002498483087,Generalization,1B
1_5,1,2,3,inductive,Behavioral Precision,0.50120506289302,Precision,1B
1_5,1,2,3,inductive,Behavioral Recall,0.773924957841484,Fitness,1B
1_5,1,2,3,inductive,One Align,0.470505162312258,Precision,1B
1_5,1,3,0,alpha,Alignment Based Fitness,0.335264532814763,Fitness,1B
1_5,1,3,0,alpha,Alignment Based Generalization,0.99997648245106,Generalization,1B
1_5,1,3,0,alpha,Alignment Based Precision,0.833333333333333,Precision,1B
1_5,1,3,0,alpha,Best Align,0.425134917901022,Precision,1B
1_5,1,3,0,alpha,Behavioral Generalization,0.444100382418686,Generalization,1B
1_5,1,3,0,alpha,Behavioral Precision,0.242607941516843,Precision,1B
1_5,1,3,0,alpha,Behavioral Recall,0.741302729209993,Fitness,1B
1_5,1,3,0,alpha,One Align,0.357142857142857,Precision,1B
1_5,1,3,0,alpha,Token Based Fitness,0.777041673660278,Fitness,1B
1_5,1,3,0,flower,Alignment Based Fitness,1,Fitness,1B
